Date,Price,Status,Build Year,URL,Adresse,Kort adresse,Kvdm,Latitude,Longitude,Kommune,Type,Nearest_Metro_Distance,Nearest_Tog_Distance
2021-09-19,8500000,"Solgt, Fri handel",1912,https://www.boligsiden.dk/adresse/carl-langes-vej-6-2500-valby-01011072___6_______,Carl Langes Vej 6 2500 Valby,Carl Langes Vej 6 2500,184.0,55.6636022,12.5068658,København,Villa,,
2021-05-30,6050000,"Solgt, Fri handel",2022,https://www.boligsiden.dk/adresse/paduavej-6-2300-koebenhavn-s-01015388___6_______,Paduavej 6 2300 København S,Paduavej 6 2300,187.0,55.6574193,12.6219656,København,Villa,,
2016-08-15,5995000,"Solgt, Fri handel",1937,https://www.boligsiden.dk/adresse/carl-langes-vej-59-2500-valby-01011072__59_______,Carl Langes Vej 59 2500 Valby,Carl Langes Vej 59 2500,139.0,55.6635082,12.4971078,København,Villa,,
2020-10-26,6195000,"Solgt, Fri handel",1937,https://www.boligsiden.dk/adresse/havdrupvej-106-2720-vanloese-01012684_106_______,Havdrupvej 106 2720 Vanløse,Havdrupvej 106 2720,120.0,55.695116,12.4888707,København,Villa,,
2022-06-30,11500000,"Solgt, Fri handel",1900,https://www.boligsiden.dk/adresse/damstien-28-2720-vanloese-01011252__28_______,Damstien 28 2720 Vanløse,Damstien 28 2720,170.0,55.6776865,12.4814658,København,Villa,,
2017-03-14,6700000,"Solgt, Fri handel",1914,https://www.boligsiden.dk/adresse/carl-langes-vej-15-2500-valby-01011072__15_______,Carl Langes Vej 15 2500 Valby,Carl Langes Vej 15 2500,185.0,55.6633315,12.5055635,København,Villa,,
2015-03-04,4850000,"Solgt, Fri handel",1937,https://www.boligsiden.dk/adresse/damstien-3-2720-vanloese-01011252___3_______,Damstien 3 2720 Vanløse,Damstien 3 2720,238.0,55.6781631,12.4845308,København,Villa,,
2016-03-21,3195000,"Solgt, Fri handel",1929,https://www.boligsiden.dk/adresse/gadstrupvej-1-2700-broenshoej-01012072___1_______,Gadstrupvej 1 2700 Brønshøj,Gadstrupvej 1 2700,136.0,55.708099,12.4724826,København,Villa,,
2022-02-18,7625000,"Solgt, Fri handel",1932,https://www.boligsiden.dk/adresse/hoejstrupvej-179-2700-broenshoej-01013220_179_______,Højstrupvej 179 2700 Brønshøj,Højstrupvej 179 2700,131.0,55.70801849999999,12.4800308,København,Villa,,
2017-02-19,4500000,"Solgt, Fri handel",1937,https://www.boligsiden.dk/adresse/tyboroen-alle-80-2720-vanloese-01017736__80_______,Tyborøn Allé 80 2720 Vanløse,Tyborøn Allé 80 2720,149.0,55.6892252,12.4755321,København,Villa,,
2017-07-03,4250000,"Solgt, Fri handel",1988,https://www.boligsiden.dk/adresse/aavendingen-1b-2700-broenshoej-01018704__1b_______,Åvendingen 1B 2700 Brønshøj,Åvendingen 1B 2700,126.0,55.7013762,12.4645608,København,Villa,,
2022-09-28,4440000,"Solgt, Fri handel",1937,https://www.boligsiden.dk/adresse/tuelandsvej-17-2300-koebenhavn-s-01017692__17_______,Tuelandsvej 17 2300 København S,Tuelandsvej 17 2300,73.0,55.63977250000001,12.5908806,København,Villa,,
